id,location,latitude,longitude
910,"Yenişehir, Diyarbakır, Turkey",37.9333,40.2333
911,"Yerevan, Armenia",40.1814,44.5144
912,"Yeşilyurt, Malatya, Turkey",38.2961,38.2489
913,"Yukarıkaraman, Antalya, Turkey",36.9167,30.6833
914,"Yüreğir, Adana, Turkey",36.9981,35.3439
915,"Yıldırım, Bursa, Turkey",40.11,29.0821
916,"Zabrze, Śląskie, Poland",50.3025,18.7781
917,"Zagreb, Croatia",45.8131,15.9775
918,"Zakopane, Małopolskie, Poland",49.3,19.95
919,"Zambrów, Podlaskie, Poland",52.9833,22.25
920,"Zamość, Lubelskie, Poland",50.7167,23.2528
921,"Zaporizhzhia, Zaporizka Oblast, Ukraine",47.85,35.1175
922,"Zaragoza, Aragon, Spain",41.65,-0.8833
923,"Zawiercie, Śląskie, Poland",50.5,19.4167
924,"Zawodzie, Śląskie, Poland",50.2585,19.0449
925,"Załęże, Śląskie, Poland",50.2672,18.9892
926,"Zduńska Wola, Łódzkie, Poland",51.6,18.9667
927,"Zdzieszowice, Opolskie, Poland",50.4192,18.1236
928,"Zgierz, Łódzkie, Poland",51.85,19.4167
929,"Zgorzelec, Dolnośląskie, Poland",51.15,15.0083
930,"Zhytomyr, Ukraine",50.25,28.6667
931,"Zielona Góra, Lubuskie, Poland",51.9333,15.5
932,"Zielonka, Mazowieckie, Poland",52.3008,21.1586
933,"Zürich, Switzerland",47.3744,8.5411
934,"Ząbki, Mazowieckie, Poland",52.2928,21.1161
935,"Ząbkowice Śląskie, Dolnośląskie, Poland",50.5833,16.8167
936,"Złocieniec, Zachodniopomorskie, Poland",53.5269,16.0122
937,"Złotoryja, Dolnośląskie, Poland",51.1333,15.9167
938,"Złotów, Wielkopolskie, Poland",53.3603,17.0408
939,"Çankaya, Ankara, Turkey",39.9244,32.8856
940,"Çekme, İstanbul, Turkey",41.0369,29.1786
941,"Çiğli, İzmir, Turkey",38.4833,27.05
942,"Çorlu, Tekirdağ, Turkey",41.15,27.8
943,"İnegöl, Bursa, Turkey",40.0806,29.5097
944,"İskenderun, Hatay, Turkey",36.5817,36.165
945,"İzmir, Turkey",38.42,27.14
946,"Łapy, Podlaskie, Poland",52.9833,22.8833
947,"Łask, Łódzkie, Poland",51.5903,19.1333
948,"Łaziska Górne, Śląskie, Poland",50.15,18.85
949,"Łańcut, Podkarpackie, Poland",50.0667,22.2333
950,"Łobez, Zachodniopomorskie, Poland",53.6333,15.6167
951,"Łomianki, Mazowieckie, Poland",52.3333,20.8833
952,"Łomża, Podlaskie, Poland",53.1764,22.0731
953,"Łowicz, Łódzkie, Poland",52.1,19.9333
954,"Łuków, Lubelskie, Poland",51.9272,22.3833
955,"Łódź, Łódzkie, Poland",51.7769,19.4547
956,"Łęczna, Lubelskie, Poland",51.3,22.8833
957,"Łęczyca, Łódzkie, Poland",52.05,19.2
958,"Śrem, Wielkopolskie, Poland",52.0886,17.0147
959,"Środa Wielkopolska, Wielkopolskie, Poland",52.2333,17.2833
960,"Środa Śląska, Dolnośląskie, Poland",51.15,16.5833
961,"Świdnica, Dolnośląskie, Poland",50.85,16.4833
962,"Świdnik, Lubelskie, Poland",51.2167,22.7
963,"Świdwin, Zachodniopomorskie, Poland",53.7833,15.7667
964,"Świebodzice, Dolnośląskie, Poland",50.8667,16.3333
965,"Świecie, Kujawsko-Pomorskie, Poland",53.4167,18.4333
966,"Świedbodzin, Lubuskie, Poland",52.25,15.5333
967,"Świnoujście, Zachodniopomorskie, Poland",53.9167,14.25
968,"Świętochłowice, Śląskie, Poland",50.2919,18.9178
969,"Şanlıurfa, Turkey",37.1583,38.7917
970,"Ţalkhā, Ad Daqahlīyah, Egypt",31.0547,31.3756
971,"Ţanţā, Al Gharbīyah, Egypt",30.7833,31.0
972,"Ţūkh, Al Qalyūbīyah, Egypt",30.3539,31.2007
973,"Żagań, Lubuskie, Poland",51.6167,15.3167
974,"Żary, Lubuskie, Poland",51.6333,15.1333
975,"Żnin, Kujawsko-Pomorskie, Poland",52.85,17.7
976,"Żory, Śląskie, Poland",50.05,18.7
977,"Żuromin, Mazowieckie, Poland",53.0667,19.9
978,"Żyrardów, Mazowieckie, Poland",52.05,20.4333
979,"Żywiec, Śląskie, Poland",49.6892,19.2058
980,"Ḩamāh, Syria",35.1333,36.75
981,"‘Aqrah, Nīnawá, Iraq",36.7414,43.8933
